Date,Open,High,Low,Close,Volume USD
2019-12-15 11-PM,7116.88,7122.57,7090.23,7111,2259242.42
2019-12-15 10-PM,7117.33,7131.76,7116.88,7116.88,1004711.47
2019-12-15 09-PM,7125.95,7125.95,7108.56,7117.33,1214924.68
2019-12-15 08-PM,7102.5,7134,7102.49,7125.95,952402.67
2019-12-15 07-PM,7116,7118.35,7093.58,7102.5,597949.8
2019-12-15 06-PM,7098.43,7116,7090.65,7116,1016752.71
2019-12-15 05-PM,7083.46,7109.03,7082.81,7098.43,863944.43
2019-12-15 04-PM,7111.56,7124.27,7073.8,7083.46,1170844.04
2019-12-15 03-PM,7112.05,7120.61,7096.04,7111.56,1279206.94
2019-12-15 02-PM,7074.24,7116.3,7074.23,7112.05,1199959.36
2019-12-15 01-PM,7067.67,7086.23,7060.88,7074.24,920342
2019-12-15 12-PM,7103.39,7141.84,7054.55,7067.67,2950164.31
2019-12-15 11-AM,7087.91,7108.36,7087.26,7103.39,557204.35
2019-12-15 10-AM,7132.28,7133.75,7083.86,7087.91,863286.97
2019-12-15 09-AM,7148.86,7157.36,7126.31,7132.28,1044004.3
2019-12-15 08-AM,7143.18,7170,7123.79,7148.86,1114155.17
2019-12-15 07-AM,7048.06,7220.01,7031,7143.18,6116993.31
2019-12-15 06-AM,7050,7050.27,7031,7048.06,921469.17
2019-12-15 05-AM,7049.58,7057.77,7040.91,7050,715860.26
2019-12-15 04-AM,7047.16,7062.88,7047.15,7049.58,2230022.67
2019-12-15 03-AM,7051.86,7060.86,7041.66,7047.16,595964.99
2019-12-15 02-AM,7041.39,7067.74,7037.5,7051.86,743800.17
2019-12-15 01-AM,7037.53,7045,7016.61,7041.39,1307203.99
2019-12-15 12-AM,7062.91,7062.92,7006.01,7037.53,2708111.44
2019-12-14 11-PM,7090.06,7090.08,7062.91,7062.91,948911.5
2019-12-14 10-PM,7081.56,7090.06,7067.97,7090.06,866018.98
2019-12-14 09-PM,7072.01,7090.25,7065.24,7081.56,841770.31
2019-12-14 08-PM,7069.59,7077.95,7063.31,7072.01,1130561.71
2019-12-14 07-PM,7092.51,7095.05,7065.69,7069.59,1210663.61
2019-12-14 06-PM,7060,7094.97,7059.99,7092.51,1435984.28
2019-12-14 05-PM,7058.95,7074.44,7051.37,7060,1212242.42
2019-12-14 04-PM,7053.15,7066.81,7008.03,7058.95,3469552.11
2019-12-14 03-PM,7150.35,7153,7030.01,7053.15,4505064.75
2019-12-14 02-PM,7142.51,7157.15,7109.01,7150.35,2281767.14
2019-12-14 01-PM,7155.34,7161.68,7135.99,7142.51,797158.39
2019-12-14 12-PM,7183.87,7187.96,7151,7155.34,653630.41
2019-12-14 11-AM,7180,7192.43,7146.51,7183.87,996532.41
2019-12-14 10-AM,7185.55,7194.54,7179,7180,864301.72
2019-12-14 09-AM,7180,7196.9,7166.77,7185.55,1135395.49
2019-12-14 08-AM,7249.95,7249.96,7161.82,7180,2294234.08
2019-12-14 07-AM,7239.31,7253.49,7236.69,7249.95,571615.75
2019-12-14 06-AM,7261.04,7263.78,7239.29,7239.31,481637.7
2019-12-14 05-AM,7255,7264.33,7252.22,7261.04,825047.63
2019-12-14 04-AM,7250.91,7259,7247.51,7255,792667.21
2019-12-14 03-AM,7245.42,7252.89,7241.01,7250.91,630334.75
2019-12-14 02-AM,7258.94,7260,7243.43,7245.42,868867.82
2019-12-14 01-AM,7243.46,7260,7238.44,7258.94,800310.55
2019-12-14 12-AM,7249.9,7250,7233.29,7243.46,556108.47
2019-12-13 11-PM,7238.45,7249.99,7232.04,7249.9,998481.29
2019-12-13 10-PM,7239.69,7250,7220.95,7238.45,2881057.45
2019-12-13 09-PM,7255.81,7255.81,7234.25,7239.69,1332027.67
2019-12-13 08-PM,7247.15,7263.53,7245.76,7255.81,1050227.28
2019-12-13 07-PM,7231.28,7289.99,7225,7247.15,4382880.77
2019-12-13 06-PM,7268.89,7277.5,7218.23,7231.28,3005860.05
2019-12-13 05-PM,7274.74,7289.11,7253.79,7268.89,2290783.19
2019-12-13 04-PM,7245.63,7299.21,7243.41,7274.74,3975515.32
2019-12-13 03-PM,7223.24,7255,7220.74,7245.63,2759498.42
2019-12-13 02-PM,7229.22,7230.92,7212.68,7223.24,2509976.45
2019-12-13 01-PM,7223.56,7232,7215.61,7229.22,1281638.06
2019-12-13 12-PM,7212.99,7224.84,7194.34,7223.56,1616197.16
2019-12-13 11-AM,7209.66,7227,7209.32,7212.99,696384.37
2019-12-13 10-AM,7202.56,7213,7196.5,7209.66,637410.87
2019-12-13 09-AM,7200.57,7212,7200,7202.56,513100.77
2019-12-13 08-AM,7221.26,7238.58,7190.12,7200.57,2783092.3
2019-12-13 07-AM,7204.25,7232.4,7200.65,7221.26,1244097.29
2019-12-13 06-AM,7211.32,7212.31,7202,7204.25,554886.39
2019-12-13 05-AM,7215.34,7216.35,7204.58,7211.32,1099020.77
2019-12-13 04-AM,7212.1,7229.82,7212.09,7215.34,1534033.87
2019-12-13 03-AM,7196.16,7217.67,7194.92,7212.1,953601.46
2019-12-13 02-AM,7192.48,7204.32,7188.12,7196.16,1854465.54
2019-12-13 01-AM,7190.01,7195.66,7183.29,7192.48,1899426.59
2019-12-13 12-AM,7185.91,7203.22,7185.9,7190.01,1820610.62
2019-12-12 11-PM,7189,7200,7184.3,7185.91,1556069.45
2019-12-12 10-PM,7196.42,7202.77,7180,7189,1522531.14
2019-12-12 09-PM,7243.4,7249.99,7190,7196.42,1826889.42
2019-12-12 08-PM,7199.14,7247.69,7196,7243.4,6750948.95
2019-12-12 07-PM,7206.73,7215.72,7186.58,7199.14,1894270.33
2019-12-12 06-PM,7191.82,7220,7182.29,7206.73,3837363.88
2019-12-12 05-PM,7194.4,7205.95,7183.17,7191.82,1776818.16
2019-12-12 04-PM,7180.58,7207.34,7172.88,7194.4,3189416.66
2019-12-12 03-PM,7158.57,7181.17,7140,7180.58,1809163.77
2019-12-12 02-PM,7179.39,7216.95,7130.01,7158.57,3565367.38
2019-12-12 01-PM,7184.72,7195,7163.74,7179.39,880709.68
2019-12-12 12-PM,7184.72,7205.81,7172.37,7184.72,989482.61
2019-12-12 11-AM,7152.41,7196.88,7151.09,7184.72,667687.21
2019-12-12 10-AM,7152.3,7211.87,7124.78,7152.41,2905982.88
2019-12-12 09-AM,7122.26,7160,7122.25,7152.3,896355.88
2019-12-12 08-AM,7136.01,7137,7102.63,7122.26,1622480.32
2019-12-12 07-AM,7159.86,7159.86,7135.05,7136.01,794274.61
2019-12-12 06-AM,7150.99,7159.86,7139.4,7159.86,1404940.84
2019-12-12 05-AM,7136.06,7155.37,7134.99,7150.99,998479.99
2019-12-12 04-AM,7150.01,7158.15,7132.65,7136.06,859534.61
2019-12-12 03-AM,7147.37,7166.37,7142.77,7150.01,957542.49
2019-12-12 02-AM,7144.9,7173.53,7127.59,7147.37,2647454.25
2019-12-12 01-AM,7136,7161.03,7075.01,7144.9,3255671.01
2019-12-12 12-AM,7201.23,7290.96,7105,7136,11957299.07
2019-12-11 11-PM,7193.44,7201.23,7190.01,7201.23,1401982.21
2019-12-11 10-PM,7186.87,7196.5,7176.76,7193.44,1799639.63
2019-12-11 09-PM,7166.33,7194.74,7166.21,7186.87,1556336.07
2019-12-11 08-PM,7191.59,7195.84,7166.21,7166.33,1750185.83
2019-12-11 07-PM,7181.06,7207.14,7176.22,7191.59,2381219.97
2019-12-11 06-PM,7192.59,7199.66,7178.73,7181.06,1442700.92
2019-12-11 05-PM,7182.64,7200,7173.04,7192.59,1972134.31
2019-12-11 04-PM,7168.19,7208.99,7147.32,7182.64,3479430.2
2019-12-11 03-PM,7229.65,7229.72,7124.45,7168.19,6318042.59
2019-12-11 02-PM,7233,7249.4,7221.02,7229.65,2556234.69
2019-12-11 01-PM,7250.01,7250.01,7215.39,7233,1216066.91
2019-12-11 12-PM,7224.14,7254.94,7224.14,7250.01,2152593.36
2019-12-11 11-AM,7209.78,7229,7209.78,7224.14,470563.27
2019-12-11 10-AM,7227.94,7232.73,7193.54,7209.78,1137458.76
2019-12-11 09-AM,7211.88,7239.63,7211.88,7227.94,568612.22
2019-12-11 08-AM,7210.87,7223.54,7206.82,7211.88,671026.61
2019-12-11 07-AM,7206.27,7219.42,7196.07,7210.87,1251859.83
2019-12-11 06-AM,7189.74,7206.49,7177.51,7206.27,2302897.9
2019-12-11 05-AM,7209.64,7220.31,7187.11,7189.74,804780.23
2019-12-11 04-AM,7206.22,7225.56,7194.42,7209.64,928575.09
2019-12-11 03-AM,7244.98,7244.98,7181.2,7206.22,1636925.23
2019-12-11 02-AM,7263.03,7263.28,7243.23,7244.98,1084957.6
2019-12-11 01-AM,7230.04,7263.31,7225.28,7263.03,1827764.49
2019-12-11 12-AM,7219.37,7241.2,7215.14,7230.04,1165826.61
2019-12-10 11-PM,7237.18,7249.66,7219.25,7219.37,1407447.5
2019-12-10 10-PM,7220.69,7250,7220.68,7237.18,1304465.68
2019-12-10 09-PM,7207.43,7240,7204.15,7220.69,1570298.77
2019-12-10 08-PM,7229.99,7229.99,7185,7207.43,1874946.93
2019-12-10 07-PM,7225,7229.99,7202.36,7229.99,2120738.65
2019-12-10 06-PM,7175.77,7226.85,7156.03,7225,2975902.99
2019-12-10 05-PM,7230.79,7245.45,7162.06,7175.77,4153990.48
2019-12-10 04-PM,7235.11,7258.27,7210.46,7230.79,2807031
2019-12-10 03-PM,7287.51,7309.57,7211.11,7235.11,5499871.07
2019-12-10 02-PM,7321.49,7347.91,7250.01,7287.51,5557721.5
2019-12-10 01-PM,7343.01,7346.92,7314,7321.49,1661999.42
2019-12-10 12-PM,7337.43,7350,7318.33,7343.01,1719052.2
2019-12-10 11-AM,7335.69,7366.7,7335.69,7337.43,826265.47
2019-12-10 10-AM,7310,7350,7309.99,7335.69,1074011.94
2019-12-10 09-AM,7295,7328.8,7294.99,7310,1304412.59
2019-12-10 08-AM,7342.54,7345,7275,7295,2234712.59
2019-12-10 07-AM,7346.38,7359.99,7325.09,7342.54,1702184.6
2019-12-10 06-AM,7346.85,7363.73,7338.83,7346.38,1089825.56
2019-12-10 05-AM,7362.89,7367.35,7334.31,7346.85,1684913.82
2019-12-10 04-AM,7370.42,7385,7360,7362.89,1290549.78
2019-12-10 03-AM,7357.02,7378.65,7352.39,7370.42,1311009.67
2019-12-10 02-AM,7358.04,7375.69,7354.2,7357.02,1554069.03
2019-12-10 01-AM,7339.09,7398,7320.22,7358.04,2349572.68
2019-12-10 12-AM,7337.51,7345,7313.03,7339.09,1970394.19
2019-12-09 11-PM,7334.78,7356.79,7324.38,7337.51,1560984.15
2019-12-09 10-PM,7354.14,7355.14,7310.91,7334.78,1858252.9
2019-12-09 09-PM,7301.7,7364.55,7286.86,7354.14,2624263.55
2019-12-09 08-PM,7368.83,7380.98,7262.87,7301.7,5750786.64
2019-12-09 07-PM,7445.5,7446.42,7344.75,7368.83,4069608.66
2019-12-09 06-PM,7436.55,7450.04,7434.2,7445.5,1576220.05
2019-12-09 05-PM,7411.54,7449.52,7400.42,7436.55,4200063.69
2019-12-09 04-PM,7418.89,7445.58,7400,7411.54,6002377.19
2019-12-09 03-PM,7545.65,7659.38,7380,7418.89,19072569.12
2019-12-09 02-PM,7504.76,7548.06,7504.75,7545.65,3650702.22
2019-12-09 01-PM,7497.18,7532.44,7495.05,7504.76,2231789.35
2019-12-09 12-PM,7475.5,7518.61,7456,7497.18,1716001.67
2019-12-09 11-AM,7482.04,7499.99,7475.5,7475.5,1216830.5
2019-12-09 10-AM,7461.77,7491.78,7450,7482.04,1299015.09
2019-12-09 09-AM,7466.91,7475,7460.79,7461.77,550465.41
2019-12-09 08-AM,7472.1,7477.96,7444.59,7466.91,1196235.42
2019-12-09 07-AM,7514.22,7514.23,7462.25,7472.1,1621600.23
2019-12-09 06-AM,7489.11,7533.96,7472.54,7514.22,969891.33
2019-12-09 05-AM,7506.04,7519.6,7485,7489.11,919351.74
2019-12-09 04-AM,7518.68,7537.25,7501.07,7506.04,917828.15
2019-12-09 03-AM,7506.55,7531.91,7490.51,7518.68,976770.58
2019-12-09 02-AM,7492.11,7509.88,7471.67,7506.55,2079725.83
2019-12-09 01-AM,7534.84,7534.84,7477,7492.11,3553552.67
2019-12-09 12-AM,7520,7550,7518.38,7534.84,1213119.85
2019-12-08 11-PM,7552.02,7559,7519.01,7520,1275339.71
2019-12-08 10-PM,7544,7552.02,7532.61,7552.02,1088836.99
2019-12-08 09-PM,7534.98,7556.95,7532.01,7544,826660.9
2019-12-08 08-PM,7525.4,7534.99,7519.77,7534.98,787576.71
2019-12-08 07-PM,7526.69,7531.04,7511.03,7525.4,883971.6
2019-12-08 06-PM,7534.89,7559.09,7525.69,7526.69,1046498.67
2019-12-08 05-PM,7525.71,7538.86,7525,7534.89,847494.66
2019-12-08 04-PM,7559.99,7576.98,7521.5,7525.71,1831034.13
2019-12-08 03-PM,7532.14,7580.84,7532.13,7559.99,1541536.21
2019-12-08 02-PM,7530.07,7535,7519.57,7532.14,650451.13
2019-12-08 01-PM,7514.01,7540,7513.76,7530.07,581163.31
2019-12-08 12-PM,7527.72,7531.72,7509.66,7514.01,795257.12
2019-12-08 11-AM,7501.69,7554.09,7501.49,7527.72,2285798.78
2019-12-08 10-AM,7501.23,7510,7482.47,7501.69,625071.93
2019-12-08 09-AM,7451.22,7510.45,7451.21,7501.23,1706079.26
2019-12-08 08-AM,7445.1,7453.53,7426.72,7451.22,684363.85
2019-12-08 07-AM,7452.5,7467.11,7444.01,7445.1,740465.76
2019-12-08 06-AM,7430.12,7464.5,7430.11,7452.5,1210976.94
2019-12-08 05-AM,7431.45,7448.57,7428.1,7430.12,837180.56
2019-12-08 04-AM,7416.62,7442,7396.12,7431.45,886046.67
2019-12-08 03-AM,7420.8,7420.8,7397.62,7416.62,1021261.29
2019-12-08 02-AM,7447.04,7448.5,7387.5,7420.8,3089153.7
2019-12-08 01-AM,7483.25,7483.25,7424.33,7447.04,2988568.87
2019-12-08 12-AM,7502.19,7508.98,7453.33,7483.25,3344612.12
2019-12-07 11-PM,7536.75,7539.54,7500.01,7502.19,1444747.57
2019-12-07 10-PM,7494.81,7538.99,7494.8,7536.75,1146236.77
2019-12-07 09-PM,7515.06,7516.09,7490.33,7494.81,1427003.55
2019-12-07 08-PM,7531.94,7531.94,7510,7515.06,1077016.72
2019-12-07 07-PM,7500.26,7541.66,7489.11,7531.94,950476.57
2019-12-07 06-PM,7519.32,7526.65,7492,7500.26,1623315.22
2019-12-07 05-PM,7518.35,7535.02,7508.9,7519.32,911046.91
2019-12-07 04-PM,7521.26,7544.66,7507.18,7518.35,885949.71
2019-12-07 03-PM,7544.47,7563.17,7510.17,7521.26,1829065.37
2019-12-07 02-PM,7529.17,7570.32,7521,7544.47,1472189.17
2019-12-07 01-PM,7533,7541.97,7514.01,7529.17,860447.47
2019-12-07 12-PM,7536.22,7559,7533,7533,1007668.37
2019-12-07 11-AM,7525.02,7545.15,7521.77,7536.22,422809.85
2019-12-07 10-AM,7509.22,7537.89,7487,7525.02,1233340.63
2019-12-07 09-AM,7515,7525,7501.64,7509.22,1369225.89
2019-12-07 08-AM,7533.44,7555.54,7499,7515,1880827.12
2019-12-07 07-AM,7545.85,7545.86,7517.85,7533.44,1262230.96
2019-12-07 06-AM,7573.99,7573.99,7541,7545.85,786569.14
2019-12-07 05-AM,7578.34,7590,7547.98,7573.99,2258892.75
2019-12-07 04-AM,7543,7643,7542.99,7578.34,5146572.14
2019-12-07 03-AM,7575,7577.4,7530.92,7543,1290308.99
2019-12-07 02-AM,7526.01,7584.72,7523.48,7575,2077902.96
2019-12-07 01-AM,7539.7,7547.08,7514.62,7526.01,1459389.85
2019-12-07 12-AM,7540.08,7570.32,7511,7539.7,2614236.24
2019-12-06 11-PM,7527.32,7567.99,7482.5,7540.08,3919595.15
2019-12-06 10-PM,7469.42,7569.55,7469.41,7527.32,3808656.03
2019-12-06 09-PM,7437.73,7488.49,7435.77,7469.42,3089313.01
2019-12-06 08-PM,7449.43,7459.55,7429.01,7437.73,1584498.37
2019-12-06 07-PM,7455.14,7458.81,7427,7449.43,2648182.38
